lemma,crossword_form,length,pos,date,first_year,band,formation,definition,evidence,url
dishumanization,DISHUMANIZATION,15,noun,1909-,1909,0,derivative,The act or process of dishumanizing.,printed date range,http://www.oed.com/dictionary/dishumanization_n
inscientist,INSCIENTIST,11,noun,1909-,1909,0,derivative,A non-scientist.,printed date range,http://www.oed.com/dictionary/inscientist_n
love bomb,LOVEBOMB,8,noun,1909-,1909,2,compound,An effusive demonstration of approval or…,printed date range,http://www.oed.com/dictionary/love-bomb_n
monoplane,MONOPLANE,9,verb,1909-,1909,3,conversion,intransitive. To travel or fly in a monoplane.,printed date range,http://www.oed.com/dictionary/monoplane_v
mph,MPH,3,noun,1909-,1909,0,initialism,Miles per hour; (also as v. intransitive) to travel.,printed date range,http://www.oed.com/dictionary/mph_n
pen-and-inkery,PENANDINKERY,12,noun,c1909-,1909,0,derivative,The use of pen and ink; the occupation of author.,printed date range,http://www.oed.com/dictionary/pen-and-inkery_n
photagogue,PHOTAGOGUE,10,noun,1909-,1909,0,borrowing,A person who brings enlightenment.,printed date range,http://www.oed.com/dictionary/photagogue_n
ridibund,RIDIBUND,8,adjective,1909-,1909,0,borrowing,"Inclined to laughter; happy, lively.",printed date range,http://www.oed.com/dictionary/ridibund_adj
tironic,TIRONIC,7,adjective,1909-,1909,0,borrowing,"Of, pertaining to, or characteristic of a tiro…",printed date range,http://www.oed.com/dictionary/tironic_adj
twinness,TWINNESS,8,noun,1909-,1909,2,derivative,"= twinship, n.",printed date range,http://www.oed.com/dictionary/twinness_n
wind shadow,WINDSHADOW,10,noun,1909-,1909,3,compound,a. A ripple caused by the wind on water and…,printed date range,http://www.oed.com/dictionary/wind-shadow_n
weekendize,WEEKENDIZE,10,verb,1910-,1910,0,derivative,intransitive to go away for the weekend.,printed date range,http://www.oed.com/dictionary/weekendize_v
floor pan,FLOORPAN,8,noun,1911-,1911,3,compound,The lower part of the body of a vehicle (esp. a…,printed date range,http://www.oed.com/dictionary/floor-pan_n
opsonist,OPSONIST,8,noun,1911-,1911,1,derivative,An advocate of the therapeutic use of opsonins.,printed date range,http://www.oed.com/dictionary/opsonist_n
ritz,RITZ,4,verb,1911-,1911,2,conversion,transitive. To make ritzy; to glamorize. Also with up.,printed date range,http://www.oed.com/dictionary/ritz_v
tipstavery,TIPSTAVERY,10,noun,1911-,1911,0,,A body of tipstaffs.,printed date range,http://www.oed.com/dictionary/tipstavery_n
pitmanize,PITMANIZE,9,verb,1912-,1912,0,proper name,transitive. To fill (a book) with Pitman shorthand.,printed date range,http://www.oed.com/dictionary/pitmanize_v
reportship,REPORTSHIP,10,noun,1912-,1912,0,derivative,Newspaper reporting.,printed date range,http://www.oed.com/dictionary/reportship_n
ulys,ULYS,4,noun,1912-,1912,0,unknown,An imaginary mountain flower.,printed date range,http://www.oed.com/dictionary/ulys_n
xenophilism,XENOPHILISM,11,noun,1912-,1912,1,,Love of foreigners or of something foreign.,printed date range,http://www.oed.com/dictionary/xenophilism_n
environment agency,ENVIRONMENTAGENCY,17,noun,1913-,1913,2,compound,a. A means of connecting the immortal soul with…,printed date range,http://www.oed.com/dictionary/environment-agency_n
mesomorphic,MESOMORPHIC,11,adjective,1913-,1913,3,compound,"Physical Chemistry. Designating, relating to, or…",printed date range,http://www.oed.com/dictionary/mesomorphic_adj
ringle-jingle,RINGLEJINGLE,12,verb,1913-,1913,0,compound,intransitive. To write in verse.,printed date range,http://www.oed.com/dictionary/ringle-jingle_v
gasless,GASLESS,7,adjective,1914-,1914,3,derivative,"Having no gasoline, fuelless. Also: designating…",printed date range,http://www.oed.com/dictionary/gasless_adj2
pecksniffingly,PECKSNIFFINGLY,14,adverb,1914-,1914,0,derivative,"In a manner resembling Pecksniff (cf. Pecksniff, n.).",printed date range,http://www.oed.com/dictionary/pecksniffingly_adv
mem,MEM,3,verb,1915-,1915,4,conversion,transitive. To note or write down as a memorandum.,printed date range,http://www.oed.com/dictionary/mem_v
polyphloisbic,POLYPHLOISBIC,13,adjective,1915-,1915,0,borrowing,"= polyphloisboian, adj.",printed date range,http://www.oed.com/dictionary/polyphloisbic_adj
zero hour,ZEROHOUR,8,noun,1915-,1915,4,compound,The time at which a military operation is…,printed date range,http://www.oed.com/dictionary/zero-hour_n
moanism,MOANISM,7,noun,1916-,1916,0,derivative,The habit or practice of lamenting; emotionalism.,printed date range,http://www.oed.com/dictionary/moanism_n
Old Moore's Almanac,OLDMOORESALMANAC,16,verb,1916-,1916,2,conversion,intransitive. To engage in predictions of the future.,printed date range,http://www.oed.com/dictionary/old-moores-almanac_v
ratiocinable,RATIOCINABLE,12,adjective,1916-,1916,1,borrowing,Able to be arrived at or deduced by reasoning.,printed date range,http://www.oed.com/dictionary/ratiocinable_adj
rule of thumbite,RULEOFTHUMBITE,14,noun,1916-,1916,0,derivative,A person who works by rule of thumb.,printed date range,http://www.oed.com/dictionary/rule-of-thumbite_n
hot-aching,HOTACHING,9,adjective,1917-,1917,0,compound,Aching in a manner reminiscent of hot ache.,printed date range,http://www.oed.com/dictionary/hot-aching_adj
pitkin,PITKIN,6,noun,1917-,1917,2,derivative,A small pit.,printed date range,http://www.oed.com/dictionary/pitkin_n
proluse,PROLUSE,7,verb,1917-,1917,1,borrowing,intransitive. To give an introductory discourse…,printed date range,http://www.oed.com/dictionary/proluse_v
wiseacrery,WISEACRERY,10,noun,1917-,1917,0,derivative,Something characteristic of a wiseacre…,printed date range,http://www.oed.com/dictionary/wiseacrery_n
dopesickness,DOPESICKNESS,12,noun,1918-,1918,0,compound,colloquial. Unpleasant physical and mental…,printed date range,http://www.oed.com/dictionary/dopesickness_n
earth artist,EARTHARTIST,11,noun,1918-,1918,2,compound,"a. An artist from this world, rather than a…",printed date range,http://www.oed.com/dictionary/earth-artist_n
parafe,PARAFE,6,verb,1919-,1919,1,variant,transitive. To sign (one's name) using one's initials.,printed date range,http://www.oed.com/dictionary/parafe_v
popcorked,POPCORKED,9,adjective,1919-,1919,0,compound,(Of a bottle) that has a cork which pops when drawn.,printed date range,http://www.oed.com/dictionary/popcorked_adj
rasted,RASTED,6,adverb,1919-,1919,1,variant,"Used as an intensifier: dreadfully, damnably. Cf…",printed date range,http://www.oed.com/dictionary/rasted_adv
studenting,STUDENTING,10,noun,1919-,1919,2,derivative,The activity or experience of being a student.,printed date range,http://www.oed.com/dictionary/studenting_n
vagulous,VAGULOUS,8,adjective,1919-,1919,1,borrowing,"Wayward, vague, wavering.",printed date range,http://www.oed.com/dictionary/vagulous_adj
dishuman,DISHUMAN,8,adjective,1920-,1920,1,derivative,Unhuman.,printed date range,http://www.oed.com/dictionary/dishuman_adj
neck-full,NECKFULL,8,adjective,1920-,1920,0,compound,Full up to the neck.,printed date range,http://www.oed.com/dictionary/neck-full_adj
electric hedge,ELECTRICHEDGE,13,noun,1921-,1921,2,compound,An invisible barrier charged with electricity.,printed date range,http://www.oed.com/dictionary/electric-hedge_n
inbe,INBE,4,verb,1921-,1921,2,derivative,To be within.,printed date range,http://www.oed.com/dictionary/inbe_v
vocalese,VOCALESE,8,noun,1921-,1921,2,derivative,Originally and chiefly Jazz. A style of singing…,printed date range,http://www.oed.com/dictionary/vocalese_n
ickylickysticky,ICKYLICKYSTICKY,15,adjective,1922-,1922,0,derivative,Unpleasantly sticky.,printed date range,http://www.oed.com/dictionary/ickylickysticky_adj
multigeminal,MULTIGEMINAL,12,adjective,1922-,1922,0,compound,Designating a multiple birth.,printed date range,http://www.oed.com/dictionary/multigeminal_adj
nemasperm,NEMASPERM,9,noun,1922-,1922,0,borrowing,A spermatozoon.,printed date range,http://www.oed.com/dictionary/nemasperm_n
obstropolos,OBSTROPOLOS,11,noun,1922-,1922,0,variant,An obstreperous mouth.,printed date range,http://www.oed.com/dictionary/obstropolos_n
ovoblastic,OVOBLASTIC,10,adjective,1922-,1922,0,compound,Of or relating to an egg cell.,printed date range,http://www.oed.com/dictionary/ovoblastic_adj
philirenist,PHILIRENIST,11,noun,1922-,1922,0,compound,A peace-loving person.,printed date range,http://www.oed.com/dictionary/philirenist_n
piky,PIKY,4,adjective,1922-,1922,1,derivative,Suggestive of a pike in appearance.,printed date range,http://www.oed.com/dictionary/piky_adj2
polymetre,POLYMETRE,9,noun,1922-,1922,2,compound,The use of two or more time signatures simultaneously.,printed date range,http://www.oed.com/dictionary/polymetre_n
poppysmic,POPPYSMIC,9,adjective,1922-,1922,0,borrowing,Produced with smacking of the lips.,printed date range,http://www.oed.com/dictionary/poppysmic_adj
pornosophical,PORNOSOPHICAL,13,adjective,1922-,1922,0,blend,Apparently: of or relating to the philosophy of…,printed date range,http://www.oed.com/dictionary/pornosophical_adj
post-mortemity,POSTMORTEMITY,13,noun,1922-,1922,0,derivative,The state of death.,printed date range,http://www.oed.com/dictionary/post-mortemity_n
psychophysicotherapeutics,PSYCHOPHYSICOTHERAPEUTICS,25,noun,1922-,1922,0,compound,Remedial treatment of the mind and body.,printed date range,http://www.oed.com/dictionary/psychophysicotherapeutics_n
ragsackman,RAGSACKMAN,10,noun,1922-,1922,0,compound,A ragman carrying a sack.,printed date range,http://www.oed.com/dictionary/ragsackman_n
ringroundabout,RINGROUNDABOUT,14,verb,1922-,1922,0,compound,transitive. To surround.,printed date range,http://www.oed.com/dictionary/ringroundabout_v
ripripple,RIPRIPPLE,9,verb,1922-,1922,1,variant,transitive. To wash over (something) repeatedly…,printed date range,http://www.oed.com/dictionary/ripripple_v
robinredbreasted,ROBINREDBREASTED,16,adjective,1922-,1922,0,derivative,Wearing a red waistcoat.,printed date range,http://www.oed.com/dictionary/robinredbreasted_adj
scumspittle,SCUMSPITTLE,11,noun,1922-,1922,0,compound,? scummy or frothy spittle.,printed date range,http://www.oed.com/dictionary/scumspittle_n
skirt duty,SKIRTDUTY,9,noun,1922-,1922,0,compound,†a. The practice of acting in a way intended to…,printed date range,http://www.oed.com/dictionary/skirt-duty_n
slipperslapper,SLIPPERSLAPPER,14,noun,1922-,1922,0,compound,"A loose, sloppily-fitting slipper (cf. slip-slop…",printed date range,http://www.oed.com/dictionary/slipperslapper_n
smackwarm,SMACKWARM,9,noun,1922-,1922,1,compound,(See quot. 1922).,printed date range,http://www.oed.com/dictionary/smackwarm_n
smellsip,SMELLSIP,8,verb,1922-,1922,0,compound,transitive. To smell and sip almost simultaneously.,printed date range,http://www.oed.com/dictionary/smellsip_v
smilesmirk,SMILESMIRK,10,verb,1922-,1922,0,compound,intransitive. To smile in a smirking manner.,printed date range,http://www.oed.com/dictionary/smilesmirk_v
spillspilling,SPILLSPILLING,13,adjective,1922-,1922,0,derivative,Repeatedly spilling.,printed date range,http://www.oed.com/dictionary/spillspilling_adj
storkbird,STORKBIRD,9,noun,1922-,1922,0,compound,"= stork, n.",printed date range,http://www.oed.com/dictionary/storkbird_n
tattarrattat,TATTARRATTAT,12,noun,1922-,1922,0,imitative,"= rat-a-tat, n.",printed date range,http://www.oed.com/dictionary/tattarrattat_n
townhithe,TOWNHITHE,9,noun,1922-,1922,0,compound,"A haven or landing place in a town; cf. hythe, n.",printed date range,http://www.oed.com/dictionary/townhithe_n
trascine,TRASCINE,8,verb,1922-,1922,1,borrowing,"transitive. To carry, to drag.",printed date range,http://www.oed.com/dictionary/trascine_v
try-hard,TRYHARD,7,"noun, adjective",1922-,1922,1,compound,A person who tries very hard; (in later use…,printed date range,http://www.oed.com/dictionary/try-hard_n
turtle-dove,TURTLEDOVE,10,verb,1922-,1922,1,conversion,"transitive, ? to show affection for (another)…",printed date range,http://www.oed.com/dictionary/turtle-dove_v
umbershoot,UMBERSHOOT,10,noun,1922-,1922,0,compound,(A word of obscure meaning.),printed date range,http://www.oed.com/dictionary/umbershoot_n
uptrunk,UPTRUNK,7,noun,1922-,1922,0,derivative,Punning reference to a brass musical instrument…,printed date range,http://www.oed.com/dictionary/uptrunk_n
wagtail kite,WAGTAILKITE,11,noun,1922-,1922,0,compound,A toy kite with a wagging or swinging tail.,printed date range,http://www.oed.com/dictionary/wagtail-kite_n
weggebobble,WEGGEBOBBLE,11,noun,1922-,1922,0,variant,"= vegetable, n. 3.",printed date range,http://www.oed.com/dictionary/weggebobble_n
womoonless,WOMOONLESS,10,adjective,1922-,1922,0,blend,Both womanless and moonless.,printed date range,http://www.oed.com/dictionary/womoonless_adj
woolgathersome,WOOLGATHERSOME,14,adjective,1922-,1922,0,derivative,Suggestive of wool-gathering.,printed date range,http://www.oed.com/dictionary/woolgathersome_adj
wrongways,WRONGWAYS,9,adverb,1922-,1922,1,compound,In the direction of wrongdoing.,printed date range,http://www.oed.com/dictionary/wrongways_adv
age-ago,AGEAGO,6,adjective,1923-,1923,0,compound,That happened (or seemed to happen) an age ago…,printed date range,http://www.oed.com/dictionary/age-ago_adj
on-the-make-ness,ONTHEMAKENESS,13,noun,1923-,1923,0,derivative,The fact or state of being on the make.,printed date range,http://www.oed.com/dictionary/on-the-make-ness_n
posadaship,POSADASHIP,10,noun,1923-,1923,0,derivative,The position of the keeper of a posada.,printed date range,http://www.oed.com/dictionary/posadaship_n
rondine,RONDINE,7,adjective,1923-,1923,2,borrowing,"Rounded, made round.",printed date range,http://www.oed.com/dictionary/rondine_adj
platform tree,PLATFORMTREE,12,noun,1925-,1925,1,compound,"A tree with a wide-spreading, flat-topped crown.",printed date range,http://www.oed.com/dictionary/platform-tree_n
televisionary,TELEVISIONARY,13,"noun, adjective",1925-,1925,2,blend,A person with visionary ideas for the development…,printed date range,http://www.oed.com/dictionary/televisionary_n
twiddle-twaddle,TWIDDLETWADDLE,14,verb,1925-,1925,1,conversion,"intransitive, to chatter foolishly.",printed date range,http://www.oed.com/dictionary/twiddle-twaddle_v
job action,JOBACTION,9,noun,c1926-,1926,3,compound,a. (As part of a military metaphor) a difficult…,printed date range,http://www.oed.com/dictionary/job-action_n
lovering,LOVERING,8,adjective,1926-,1926,1,derivative,That behaves as a lover; courting.,printed date range,http://www.oed.com/dictionary/lovering_adj
peripherization,PERIPHERIZATION,15,noun,1926-,1926,2,derivative,The process of being moved to the periphery…,printed date range,http://www.oed.com/dictionary/peripherization_n
radiolocation,RADIOLOCATION,13,noun,1926-,1926,3,compound,The use of radio for determining the position of…,printed date range,http://www.oed.com/dictionary/radiolocation_n
reel-land,REELLAND,8,noun,1926-,1926,0,compound,The world of the cinema.,printed date range,http://www.oed.com/dictionary/reel-land_n
sheep trot,SHEEPTROT,9,noun,1926-,1926,0,compound,A dance as of satyrs.,printed date range,http://www.oed.com/dictionary/sheep-trot_n
collaborative,COLLABORATIVE,13,"adjective, noun",1927-,1927,5,derivative,"Characterized by, based upon, or produced in…",printed date range,http://www.oed.com/dictionary/collaborative_adj
nimble-pimble,NIMBLEPIMBLE,12,verb,1927-,1927,0,compound,(intransitive) to behave in a sentimental or…,printed date range,http://www.oed.com/dictionary/nimble-pimble_v
phonocentric,PHONOCENTRIC,12,adjective,1927-,1927,2,compound,Linguistics. Centred on speech; characterized by…,printed date range,http://www.oed.com/dictionary/phonocentric_adj
purchasery,PURCHASERY,10,noun,1927-,1927,0,derivative,The business of purchasing.,printed date range,http://www.oed.com/dictionary/purchasery_n
secretary,SECRETARY,9,verb,1927-,1927,1,conversion,intransitive. To work as a secretary (esp. an…,printed date range,http://www.oed.com/dictionary/secretary_v
